500 500
50901451 1 924995860
497889934 2 444438419
78260077 1 477557161
788205152 3 282465114
431504106 1 698321077
358057599 2 239264993
108014005 1 888208210
687076090 1 716344544
942607902 2 657369793
107133031 1 279282871
629819827 4 209044889
315301902 1 424614968
196134725 2 159640596
655311376 3 237636591
743491605 1 929154787
618142048 2 342818682
803104137 3 391930894
333217753 3 134873328
390990311 1 433194926
581948295 2 447955840
171971460 2 123600395
303630716 1 527537791
602271952 1 790375901
525329578 2 320816203
962238877 2 627473430
271796820 1 420701808
227129006 1 874254987
799758385 2 514360843
266630239 4 68812689
804344626 2 785322470
253108046 1 347318153
581276886 4 180209378
908659851 2 727354721
16603566 1 688944961
440863008 1 723288033
177217835 1 956933393
283046207 2 249020839
655206920 3 228218117
829911010 4 233210850
70569890 9 8127143
355642593 1 419057362
830914521 2 758583839
645707647 5 142008109
165046388 1 284732769
653277658 1 726825090
360612569 1 603397842
813578374 4 270815991
700703891 5 140704671
951660011 2 628307474
410011514 2 207303748
930815036 2 854718608
322033109 1 567568364
927852358 3 330699317
583621850 2 462858886
574463154 3 203824033
683831619 3 273227920
98162771 1 366636838
982757330 3 394633828
398069828 1 430414777
890254263 2 785074115
696395889 2 487760778
119022711 1 142604632
662520360 2 597541223
746589928 4 230189889
199474105 1 521190598
749205647 2 699702367
121561209 1 388439693
468043316 2 237411320
193259180 1 996637593
378102550 3 147023992
451653247 1 689810220
185452035 4 59398663
38293806 1 726035037
94597083 1 690356289
804303065 2 687673035
326106200 1 618874988
34123157 1 595286075
284877532 1 826713968
377124340 131 2888957
236526919 1 529860893
107824311 1 699724589
5543082 1 216026962
848750212 2 677211978
337177542 2 286212713
762211727 21 36567108
97105973 1 272996571
288377333 1 558649343
38056309 1 736867966
99513126 1 153372711
326925045 5 67808497
231973513 1 259110122
105320150 1 368199055
461726555 1 960740463
237218199 1 263851759
743223607 16 48107865
385721421 1 890306672
794662013 2 737491725
140993233 1 470570377
670440803 2 657495791
949009054 1 959582724
486820602 6 89193663
970681446 2 854319130
520298049 4 159967264
376079644 2 211371345
176445562 1 849521648
206895528 1 637034181
658949478 2 475960805
291738267 1 570700555
585001848 6 115585138
954411158 2 832406229
113309031 1 493611698
157756661 1 947492667
79298411 1 451222446
424008141 2 236354182
405754612 1 629955533
142791315 1 929376121
936661962 2 927920304
228427705 1 800624722
752374168 2 725731547
869322563 2 655328669
926252828 5 225092442
945182570 7 146267422
279713958 1 712659400
517326914 1 821806885
21959514 1 696556443
833571941 2 683427737
818399765 4 241684581
933433573 2 675322283
489173533 2 282903933
967710251 3 424716713
181792271 1 293697772
160071154 1 235978461
95528475 1 805036472
751906672 5 167241024
5275401 1 37118417
935581959 2 712273205
450536714 5 107439013
30342402 1 970001766
975355614 24 40795360
669199799 2 631291994
466825257 2 335601696
328619515 1 466382331
190528247 2 120746629
297057369 1 643647737
114968521 1 672831926
169577965 12 15351573
779416006 1 831210228
777224846 1 999164201
688620790 2 404960429
209367261 1 854433401
187239427 1 951842015
785056512 1 991157145
261330383 1 587333251
623102849 1 967234651
259918218 1 285021023
231536725 2 194644758
780025542 7 115495778
809447791 1 956882053
458544663 1 708587326
270763604 1 296491695
963581389 12 82948790
797204677 1 818944781
623568205 1 911989065
750698362 3 333318498
418364537 1 877017723
292028286 2 278476162
869988254 1 877348659
747817554 2 543501531
241422249 2 226022339
783647081 1 803135172
394378593 1 730033096
218220194 1 282302948
601776906 2 550229219
906068529 1 994186297
467173943 6 90701271
374495190 1 457058427
403844182 1 478444632
484016174 2 464883017
770984883 3 271706251
770141044 2 415993960
589683213 18 34197821
15119990 1 206632380
72516116 1 647170942
427477759 4 130433426
62667162 7 10145321
89723713 2 60100361
131433470 1 689916171
728083896 2 682379558
230
7548
12400
14832
342
4405
8
18767
19513
12390
8624
15607
13524
3147
1938
10502
8928
18667
6852
4659
2974
7393
6189
9372
6500
1017
5516
18580
10571
15271
2584
18998
435
1385
7572
1795
10223
19582
14910
975
18072
1752
14519
10578
4790
13398
16828
8950
9818
35
741
10837
7516
15065
322
7704
5137
10838
3658
7670
16836
379
1293
12267
16366
6954
14107
17714
18947
17562
1687
1935
2463
13454
5921
10715
12599
19227
17293
5097
8777
17579
19044
15893
1673
7867
14774
8717
15844
13605
13267
10887
14543
18809
1071
8002
9243
3735
316
11559
15017
13323
1819
13400
13652
10860
298
1033
19595
12813
13210
14811
3608
19723
19207
1366
18018
19413
14487
8407
291
18070
14764
1656
7808
4601
5745
18158
10603
5779
15610
11359
15070
6587
6984
3188
11754
18186
449
12390
1019
1632
439
17822
5867
12734
3266
482
12937
359
7351
5426
15279
14067
840
11930
11639
15280
1
6122
12777
16532
19831
19512
14671
13591
6661
842
7578
9062
16536
9387
5179
4868
2259
17550
3571
8993
15444
17773
37
9670
2526
9812
5234
14754
5211
15863
2814
12762
104
17193
8425
15353
10524
8600
6838
16374
5357
13713
7530
13224
19806
4755
15445
6260
16687
1667
9443
3620
9473
8702
4645
13381
5536
17431
13042
8458
12366
18237
16056
8114
13763
3378
5039
18267
2900
14938
4259
8333
12712
5980
18031
17013
14665
17608
4808
8475
7109
13368
16548
7986
5764
8337
2805
1073
15535
4653
15096
17568
8920
2184
16029
3751
18236
11322
15278
15701
5822
9400
19100
13964
5194
8338
17675
8740
848
15130
15487
1032
16740
10721
15784
8796
19494
10578
11251
5888
18468
9256
3171
7026
5218
464
3366
9027
2620
6680
19871
19349
2338
13587
12764
1952
12763
13152
14417
18627
16540
6489
2918
3888
9341
14708
14627
5656
19949
5578
18885
18132
8979
17831
958
86
7978
14757
13787
59
538
8992
12947
10630
19368
12117
16181
447
5892
2794
10016
16230
19850
12073
5881
16834
18562
12998
2377
12095
3738
12468
16272
1128
11761
12780
1766
8491
5291
3868
4720
5326
7933
11976
12437
3012
13517
2338
9483
5865
9968
1327
16748
18258
6923
5806
10880
18053
2915
9882
1412
18189
11389
18548
3048
8302
4725
31
405
806
9392
15869
16764
5262
10812
15012
14297
16328
5199
16897
1903
13847
14719
3179
4603
3239
5585
12094
6711
10259
239
13820
18158
19842
12900
7370
2659
461
8886
4369
559
5324
14201
5549
10269
4614
18333
16922
11231
13160
11552
6575
2203
15369
6619
14395
15980
14465
14253
828
18122
6422
13042
9476
3549
12237
5147
7148
145
13727
8762
875
6141
16975
12727
10443
11651
8451
7152
5154
13775
15858
16746
15658
4935
14394
1287
18694
15071
16458
17884
8477
2932
9659
471
89
1911
16192
14539
15481
15697
7725
17759
6197
13670
3296
8357
17629
13728
598
16341
10112
831
16383
16583
9801
16810
18735
4711
16684
14312
986
1797
17765
12211
12353
2064
19372
11325
19215
11367
7334
